nm,type,apv_date,addr,floor,sitearea,lat,lng,flpop_type,trdar_cd,adstrd_cd
베레베레,커피숍,2002-09-19,서울 광진구 능동로13길 19,,,37.5428852911237,127.070832253014,TR,3120053,11215710
덕수궁전통차전문,커피숍,2003-01-16,서울 중구 서소문로 109,2,46.28,37.5630615400711,126.97327976746,TR,3120020,11140520
엘빠소,커피숍,2003-05-31,서울 종로구 성균관로 18,,,37.5844061348081,126.997641346393,TR,3110021,11110650
씨애틀즈베스트커피대사관점,커피숍,2003-10-31,서울 종로구 세종대로 188,1,,37.5731899442108,126.97783098563,AD,,11110615
본솔카페,커피숍,2004-01-17,서울 용산구 청파로47길 71,1,13.80,37.5448398200236,126.966454965183,TR,3110069,11170555
링고요고,커피숍,2004-07-08,서울 중구 퇴계로73길 51,1,31.40,37.5673709938761,127.01358794795,TR,3120039,11140615
토넷트커피숍,커피숍,2001-06-12,서울 용산구 보광로 106,,58.48,37.5322637171276,126.994873023956,TR,3110087,11170650
썬휴게실,커피숍,2004-08-16,서울 중구 마른내로 126,-1,52.89,37.5644348745928,127.00185151219,TR,3120035,11140590
네스카페,커피숍,2004-10-28,서울 중구 덕수궁길 15,1,4.00,37.5645541852439,126.975613605737,TR,3120020,11140520
루비콘플러스,커피숍,2004-06-02,서울 중구 장충단로 275,8,13.22,37.5688849422849,127.008775114213,TR,3130038,11140590
구스토,커피숍,2004-04-22,서울 종로구 새문안로 29,4,,37.5688677261045,126.967812703696,TR,3120001,11110580
아름다운고궁,커피숍,2005-08-12,서울 종로구 사직로 161,1,,37.5759040910202,126.976842133821,AD,,11110515
피카디리망고 일리,커피숍,2004-12-14,서울 종로구 돈화문로5가길 1,1,,37.5710275098022,126.991230294263,TR,3120009,11110615
소그노스에스프레소,커피숍,2005-11-30,서울 종로구 종로 26,-1,,37.5696912777696,126.980303746598,TR,3120006,11110615
노모토커피,커피숍,2005-12-01,서울 서초구 신반포로41길 50,1,53.13,37.5120829312685,127.016402787187,AD,,11650540
주)키커피코리아,커피숍,2005-12-26,서울 중구 퇴계로 77,-1,4.95,37.5603438884295,126.980823104019,TR,3120027,11140540
강남커피숍,커피숍,2006-01-25,서울 서초구 서초대로62길 13,1,62.70,37.4947674606267,127.019591522879,TR,3120173,11650510
