name,type,detail_type,stable,aprove_day,address,road_address,sitearea,lat,lng
이디야답십리파크자이점,휴게음식점,커피숍,01,2019-03-11,"서울특별시 동대문구 한천로 55, 영진빌딩 1층 (답십리동)",서울특별시 동대문구 한천로 55,85.00,37.5669101962131,127.061880899304
다락방 사주카페,휴게음식점,커피숍,01,2014-04-09,서울특별시 동대문구 회기로 185 (휘경동),서울특별시 동대문구 회기로 185,49.59,37.5900419451929,127.056511634376
빽다방 전농동전동초교점,휴게음식점,커피숍,01,2023-08-23,"서울특별시 동대문구 사가정로 145, 1층 (전농동)",서울특별시 동대문구 사가정로 145,57.00,37.5781094903909,127.060981222248
커피상회,휴게음식점,커피숍,01,2023-08-18,"서울특별시 동대문구 약령시로 133, 1층 (청량리동)",서울특별시 동대문구 약령시로 133,9.90,37.5833853215255,127.044745762835
구하니 커피,휴게음식점,커피숍,01,2023-08-04,"서울특별시 동대문구 전농로15길 21, 남동 2호 (전농동)",서울특별시 동대문구 전농로15길 21,10.36,37.5779500252598,127.056805777125
퐁치 커피익스프레스 회기역점,휴게음식점,커피숍,01,2023-08-01,"서울특별시 동대문구 왕산로 295-3, 1층 (청량리동)",서울특별시 동대문구 왕산로 295-3,26.45,37.5868212193042,127.052089850777
읍천리382 회기역점,휴게음식점,커피숍,01,2023-09-13,"서울특별시 동대문구 망우로 46, 401동 1101호 (휘경동)",서울특별시 동대문구 망우로 46,60.14,37.5887655669609,127.058791788697
메가엠지씨커피 외대앞역점,휴게음식점,커피숍,01,2019-03-27,"서울특별시 동대문구 휘경로 24, 1층 (이문동)",서울특별시 동대문구 휘경로 24,96.78,37.5952634529218,127.062432831916
빽다방 장안동사거리점,휴게음식점,커피숍,01,2019-01-09,"서울특별시 동대문구 장한로 140, 1층 (장안동)",서울특별시 동대문구 장한로 140,39.60,37.5728529149051,127.072154950754
동네책방,휴게음식점,커피숍,01,2019-02-14,"서울특별시 동대문구 안암로6길 19, 1층 (용두동)",서울특별시 동대문구 안암로6길 19,76.39,37.579146916724,127.025916420631
카페 어텐디,휴게음식점,떡카페,01,2019-03-20,"서울특별시 동대문구 왕산로 110, 1층 (용두동)",서울특별시 동대문구 왕산로 110,40.00,37.5779265485075,127.035505001415
스타벅스 동작대로,휴게음식점,커피숍,01,2025-08-06,"서울특별시 서초구 동작대로 72, 1,2층 (방배동)",서울특별시 서초구 동작대로 72,178.75,37.4829997962039,126.982366878842
라크리마커피아트몰링 장안점,휴게음식점,커피숍,01,2019-01-17,"서울특별시 동대문구 답십리로 288, 아트몰링 장안 지하1층 (장안동)",서울특별시 동대문구 답십리로 288,13.22,37.5719341385201,127.072354312103
카페30,휴게음식점,커피숍,01,2024-09-19,"서울특별시 동대문구 천호대로83길 81, 1층 102호 (장안동)",서울특별시 동대문구 천호대로83길 81,30.00,37.5656192514564,127.0663563324
