stdr_yyqu_cd,adstrd_cd,adstrd_cd_nm,tot_flpop_co,ml_flpop_co,fml_flpop_co,agrde_10_flpop_co,agrde_20_flpop_co,agrde_30_flpop_co,agrde_40_flpop_co,agrde_50_flpop_co,agrde_60_above_flpop_co,tmzon_00_06_flpop_co,tmzon_06_11_flpop_co,tmzon_11_14_flpop_co,tmzon_14_17_flpop_co,tmzon_17_21_flpop_co,tmzon_21_24_flpop_co,mon_flpop_co,tues_flpop_co,wed_flpop_co,thur_flpop_co,fri_flpop_co,sat_flpop_co,sun_flpop_co
20191,11110515,청운효자동,3668225.0,1693148.0,1975079.0,604553.0,542715.0,581784.0,682867.0,492916.0,763391.0,950779.0,786443.0,477085.0,460874.0,558750.0,434296.0,528566.0,528092.0,533157.0,540482.0,534862.0,505661.0,497404.0
20191,11110530,사직동,4628956.0,2290446.0,2338512.0,403260.0,752637.0,920942.0,904937.0,679906.0,967277.0,693214.0,972241.0,812281.0,820984.0,887499.0,442738.0,682476.0,685164.0,709260.0,729241.0,717359.0,570596.0,534862.0
20191,11110540,삼청동,1010831.0,486563.0,524268.0,97480.0,152090.0,189542.0,182516.0,156747.0,232455.0,179315.0,205699.0,178505.0,186331.0,173031.0,87952.0,142143.0,144846.0,146730.0,150008.0,152319.0,144807.0,129977.0
20191,11110550,부암동,1053668.0,468695.0,584973.0,169130.0,143980.0,124425.0,159491.0,170029.0,286613.0,276062.0,226493.0,128549.0,125124.0,164822.0,132619.0,152370.0,152256.0,152123.0,150560.0,147122.0,148571.0,150668.0
20191,11110560,평창동,1139144.0,497078.0,642067.0,188796.0,119637.0,120384.0,165176.0,190202.0,354950.0,311427.0,244885.0,133249.0,127608.0,173849.0,148127.0,161708.0,162637.0,161310.0,161151.0,159959.0,164827.0,167552.0
20191,11110570,무악동,1973728.0,896192.0,1077537.0,374684.0,234877.0,211446.0,310894.0,282932.0,558895.0,498505.0,416820.0,241258.0,240222.0,315601.0,261323.0,279403.0,280139.0,286561.0,285733.0,284207.0,276438.0,281247.0
20191,11110580,교남동,3014831.0,1370739.0,1644093.0,619836.0,345653.0,405244.0,501317.0,404277.0,738504.0,826787.0,629183.0,351701.0,339925.0,467158.0,400075.0,431022.0,423852.0,431716.0,435472.0,434451.0,423398.0,434920.0
20191,11110600,가회동,1549703.0,791564.0,758139.0,179350.0,208194.0,313324.0,298593.0,233503.0,316740.0,265439.0,347935.0,271752.0,270680.0,255120.0,138777.0,232383.0,234521.0,240147.0,248080.0,241798.0,185058.0,167720.0
20191,11110615,종로1·2·3·4가동,15931290.0,8942173.0,6989116.0,808723.0,3377295.0,2910885.0,2775463.0,2386821.0,3672103.0,1487541.0,2744681.0,3271994.0,3575519.0,3572875.0,1278679.0,2374708.0,2377983.0,2463693.0,2588104.0,2592605.0,2052968.0,1481228.0
20191,11110630,종로5·6가동,7468429.0,4017236.0,3451194.0,414644.0,1105171.0,1151494.0,1283532.0,1464648.0,2048942.0,1040397.0,1475730.0,1488218.0,1515026.0,1328606.0,620452.0,1131215.0,1124592.0,1147301.0,1199507.0,1188809.0,952414.0,724593.0
20191,11110640,이화동,4156755.0,1876746.0,2280009.0,448656.0,1040124.0,725885.0,592379.0,512787.0,836922.0,845823.0,765287.0,581152.0,651638.0,841492.0,471363.0,566108.0,581835.0,600022.0,611535.0,610565.0,610216.0,576473.0
20191,11110650,혜화동,9155321.0,4254116.0,4901207.0,1391333.0,2877828.0,1158206.0,1165682.0,948544.0,1613729.0,2170719.0,1783347.0,1162950.0,1197306.0,1677670.0,1163329.0,1279370.0,1290769.0,1306149.0,1312195.0,1300275.0,1352728.0,1313832.0
20191,11110670,창신1동,4716068.0,2274666.0,2441403.0,305975.0,636090.0,791167.0,813093.0,881895.0,1287846.0,1090393.0,938505.0,689943.0,694869.0,763492.0,538867.0,674147.0,674873.0,683623.0,695769.0,713245.0,672227.0,602185.0
20191,11110680,창신2동,5742433.0,2709797.0,3032635.0,593650.0,709845.0,711041.0,941259.0,1179418.0,1607220.0,1627421.0,1207403.0,659794.0,631383.0,883050.0,733384.0,820356.0,815266.0,809026.0,808964.0,804414.0,833904.0,850504.0
20191,11110690,창신3동,807373.0,375433.0,431942.0,119590.0,102936.0,121039.0,128084.0,136186.0,199540.0,242543.0,167790.0,84880.0,81937.0,120340.0,109884.0,115885.0,114236.0,113860.0,113344.0,112047.0,116241.0,121763.0
20191,11110700,숭인1동,2698031.0,1292365.0,1405666.0,313077.0,351966.0,392101.0,415497.0,467630.0,757762.0,666107.0,576167.0,346065.0,353525.0,437538.0,318627.0,378887.0,377388.0,378461.0,378686.0,381025.0,393978.0,409605.0
20191,11110710,숭인2동,6460155.0,3182045.0,3278109.0,531836.0,978123.0,1081118.0,1063416.0,1165677.0,1639985.0,1483130.0,1343530.0,944806.0,938729.0,1019369.0,730591.0,917671.0,906842.0,920589.0,934928.0,944393.0,921317.0,914416.0
20191,11140520,소공동,3054023.0,1569629.0,1484394.0,157435.0,554942.0,772396.0,679889.0,449795.0,439567.0,244865.0,650983.0,696455.0,719109.0,573890.0,168725.0,488538.0,487563.0,508475.0,539064.0,519660.0,285996.0,224731.0
20191,11140540,회현동,5102115.0,2361608.0,2740506.0,175162.0,718493.0,1128579.0,1039297.0,858112.0,1182472.0,401574.0,1059749.0,1240782.0,1247177.0,874981.0,277855.0,792710.0,783766.0,812496.0,861663.0,851405.0,609191.0,390881.0
20191,11140550,명동,6019451.0,3064006.0,2955445.0,317686.0,1308919.0,1477185.0,1219496.0,812660.0,883507.0,398183.0,1195119.0,1330017.0,1391794.0,1305804.0,398534.0,938315.0,932779.0,971822.0,1027754.0,997713.0,627909.0,523158.0
20191,11140570,필동,2902994.0,1615515.0,1287479.0,237476.0,683000.0,498062.0,506595.0,435010.0,542850.0,420799.0,570045.0,536480.0,546257.0,560669.0,268744.0,447846.0,450292.0,462233.0,487273.0,469005.0,319287.0,267061.0
20191,11140580,장충동,2369860.0,1219660.0,1150200.0,195684.0,609744.0,430868.0,361959.0,323912.0,447694.0,461784.0,522487.0,390636.0,374418.0,391720.0,228816.0,354842.0,351412.0,361542.0,366827.0,355349.0,299017.0,280874.0
20191,11140590,광희동,6232642.0,3257347.0,2975295.0,355442.0,1179459.0,1220282.0,1121908.0,1046723.0,1308829.0,952711.0,1213663.0,1092722.0,1134233.0,1205513.0,633801.0,936250.0,919762.0,954635.0,1004611.0,990904.0,785978.0,640503.0
20191,11140605,을지로동,5245796.0,3152971.0,2092824.0,149964.0,684896.0,870611.0,1021620.0,1081638.0,1437067.0,497306.0,1073860.0,1142792.0,1161354.0,1016717.0,353767.0,828859.0,816617.0,856178.0,909050.0,892136.0,564630.0,378330.0
20191,11140615,신당동,6320342.0,3062321.0,3258022.0,439649.0,1098460.0,1257720.0,1085271.0,1099080.0,1340161.0,1499177.0,1265418.0,847349.0,836973.0,1059245.0,812180.0,923189.0,920754.0,938333.0,961157.0,963781.0,860774.0,752355.0
20191,11140625,다산동,4692732.0,2207570.0,2485162.0,553949.0,742911.0,800786.0,736183.0,666980.0,1191922.0,1182238.0,960320.0,582550.0,575368.0,787534.0,604723.0,677064.0,677226.0,680027.0,685469.0,680838.0,647180.0,644929.0
20191,11140635,약수동,2202172.0,997479.0,1204692.0,262835.0,276184.0,368610.0,333090.0,301601.0,659851.0,565303.0,448794.0,258610.0,260335.0,377764.0,291364.0,310315.0,308070.0,308760.0,308724.0,308630.0,325042.0,332631.0
20191,11140645,청구동,3911798.0,1825418.0,2086380.0,552122.0,506015.0,628866.0,595366.0,559000.0,1070429.0,1061522.0,823657.0,451364.0,440924.0,623929.0,510400.0,557998.0,559332.0,559158.0,557815.0,558499.0,554645.0,564351.0
20191,11140650,신당5동,5075589.0,2364996.0,2710593.0,560250.0,715279.0,842079.0,814262.0,872823.0,1270896.0,1151058.0,1016909.0,663238.0,673744.0,928455.0,642184.0,713392.0,716518.0,726680.0,735665.0,738140.0,733244.0,711949.0
20191,11140665,동화동,2948706.0,1381449.0,1567256.0,386521.0,380586.0,446283.0,486488.0,505047.0,743784.0,696758.0,606209.0,375012.0,385887.0,524094.0,360746.0,417590.0,422386.0,421530.0,424312.0,423219.0,421907.0,417762.0
20191,11140670,황학동,6278235.0,2953774.0,3324461.0,588193.0,909829.0,1178097.0,951889.0,1032485.0,1617742.0,1486714.0,1310888.0,842152.0,853436.0,1054096.0,730950.0,902522.0,887111.0,897998.0,910605.0,902808.0,908605.0,868585.0
20191,11140680,중림동,2258952.0,1126803.0,1132149.0,207173.0,329930.0,464626.0,420780.0,341897.0,494544.0,493963.0,469950.0,328918.0,330272.0,383991.0,251858.0,340753.0,330952.0,335676.0,343002.0,345533.0,291761.0,271276.0
20191,11170510,후암동,4805181.0,2273894.0,2531287.0,612395.0,692569.0,836000.0,779020.0,683351.0,1201844.0,1386484.0,1030548.0,538710.0,519095.0,710268.0,620076.0,686312.0,683598.0,688448.0,689230.0,683482.0,674281.0,699830.0
20191,11170520,용산2가동,4529742.0,2103282.0,2426460.0,497600.0,735809.0,900140.0,675477.0,537711.0,1183004.0,1348260.0,971164.0,484955.0,458650.0,663423.0,603290.0,634996.0,636173.0,641622.0,634433.0,631672.0,656941.0,693905.0
20191,11170530,남영동,2550167.0,1333117.0,1217051.0,224456.0,463407.0,481989.0,443638.0,384489.0,552190.0,558765.0,565360.0,372960.0,363670.0,421515.0,267897.0,377452.0,372868.0,378733.0,387921.0,382018.0,326264.0,324911.0
20191,11170555,청파동,8348694.0,3728150.0,4620543.0,1174853.0,1802870.0,1348805.0,1220654.0,1140852.0,1660658.0,2156988.0,1781096.0,1060596.0,1015652.0,1320489.0,1013871.0,1201670.0,1192490.0,1200118.0,1212900.0,1198454.0,1158570.0,1184492.0
20191,11170560,원효로1동,4636353.0,2274731.0,2361623.0,584873.0,750225.0,1022160.0,837150.0,585486.0,856457.0,1003108.0,1015175.0,664099.0,644872.0,779899.0,529200.0,676585.0,675141.0,683802.0,696096.0,685703.0,621132.0,597894.0
20191,11170570,원효로2동,3484892.0,1642575.0,1842317.0,511805.0,417846.0,568376.0,603039.0,487244.0,896581.0,996052.0,761544.0,404257.0,383796.0,504582.0,434663.0,498369.0,498058.0,497470.0,498302.0,497921.0,492092.0,502678.0
20191,11170580,효창동,3991139.0,1756047.0,2235093.0,687718.0,580162.0,632659.0,598268.0,555137.0,937195.0,987859.0,843961.0,487234.0,479407.0,669562.0,523117.0,567859.0,575361.0,569710.0,575636.0,568788.0,564297.0,569488.0
20191,11170590,용문동,3822566.0,1810001.0,2012565.0,570722.0,466504.0,645698.0,600890.0,540952.0,997803.0,1025219.0,776817.0,441858.0,448924.0,632294.0,497454.0,546955.0,541485.0,544387.0,547834.0,540387.0,550264.0,551255.0
20191,11170625,한강로동,5518121.0,2819154.0,2698969.0,456869.0,967152.0,1263472.0,1026532.0,742157.0,1061941.0,956277.0,1150291.0,899384.0,914481.0,1034661.0,563029.0,810370.0,811662.0,833757.0,858243.0,847545.0,708318.0,648228.0
20191,11170630,이촌1동,5190710.0,2299819.0,2890891.0,878658.0,473933.0,735918.0,968047.0,743189.0,1390966.0,1378128.0,1111850.0,603121.0,590146.0,827517.0,679947.0,732875.0,737880.0,747603.0,739817.0,743831.0,738989.0,749716.0
20191,11170640,이촌2동,1628157.0,812149.0,816008.0,204142.0,177859.0,285843.0,269201.0,239640.0,451473.0,483691.0,347970.0,173735.0,175814.0,237748.0,209198.0,232107.0,232299.0,233262.0,231493.0,234179.0,232645.0,232173.0
20191,11170650,이태원1동,2971557.0,1534712.0,1436846.0,181665.0,886956.0,664265.0,420603.0,322598.0,495469.0,680441.0,489788.0,355747.0,391315.0,613066.0,441202.0,368516.0,371370.0,370867.0,383758.0,443066.0,544674.0,489307.0
20191,11170660,이태원2동,3357347.0,1591468.0,1765880.0,291964.0,608925.0,778696.0,577463.0,396661.0,703636.0,908016.0,697500.0,390435.0,387153.0,542343.0,431901.0,462404.0,467092.0,470121.0,468953.0,476491.0,507051.0,505234.0
20191,11170685,한남동,6481007.0,3136764.0,3344242.0,501843.0,1184315.0,1539827.0,1127171.0,819518.0,1308332.0,1551267.0,1361570.0,841369.0,860204.0,1092878.0,773717.0,904459.0,918592.0,924293.0,930311.0,946056.0,941216.0,916081.0
20191,11170690,서빙고동,2073223.0,1005526.0,1067697.0,305959.0,253471.0,296248.0,415353.0,287887.0,514303.0,586509.0,466938.0,242517.0,228968.0,293558.0,254733.0,293106.0,291492.0,293998.0,292246.0,294460.0,297783.0,310137.0
20191,11170700,보광동,4785740.0,2349072.0,2436669.0,441264.0,833326.0,955170.0,789396.0,663063.0,1103520.0,1456163.0,1013829.0,497576.0,479447.0,694609.0,644115.0,680659.0,676267.0,669605.0,667011.0,675310.0,700434.0,716454.0
