listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd
575115,서울특별시 강남구 논현동,37.5193055943467,127.029261558155,사무실,월세,0,0,30000000,2000000,0,82.6,4층,T,3120190,11680531
703777,서울특별시 서초구 잠원동,37.5117750418,127.020540301,카페/커피,월세,0,40000000,50000000,3000000,0,33.06,1층,T,3120185,11650540
701846,서울특별시 강남구 논현동,37.5126578411906,127.021576618762,사무실,월세,0,0,35000000,3000000,0,49.59,2층,T,3120185,11680521
455221,서울특별시 강남구 논현동,37.5090318416,127.0234530889,한식/고기집,월세,0,220000000,80000000,5500000,1200000,264.5,2층,T,3130303,11680521
394623,서울특별시 강남구 논현동,37.5158561507,127.0308438008,가구/가전,월세,0,200000000,50000000,3100000,600000,165.0,1층,T,3120191,11680531
690195,서울특별시 강남구 논현동,37.5072440303,127.0245247227,사무실,월세,0,0,30000000,2700000,300000,112.4,지하1층,T,3120187,11680521
687362,서울특별시 강남구 논현동,37.50587801956,127.024940478275,노래방/PC방/당구장/기타,월세,0,70000000,30000000,3350000,0,181.82,3층,T,3120187,11680521
686816,서울특별시 서초구 잠원동,37.5144406772564,127.019386390307,기타,월세,0,0,300000000,25000000,0,214.558,7층,T,3120178,11650540
686841,서울특별시 강남구 신사동,37.520441345,127.0272258334,사무실,월세,0,0,25000000,2500000,0,66.1,지하1층,T,3120190,11680510
685491,서울특별시 강남구 논현동,37.5134434247751,127.022074528478,사무실,월세,0,0,40000000,3000000,0,95.87,지하1층,T,3120185,11680521
683336,서울특별시 강남구 논현동,37.5195504775,127.0300172895,기타주점,월세,0,60000000,50000000,3900000,0,46.28,1층,T,3120190,11680531
681341,서울특별시 서초구 잠원동,37.5144406772564,127.019386390307,기타,월세,0,0,50000000,5000000,0,26.45,지하2층,T,3120178,11650540
680830,서울특별시 강남구 논현동,37.5109168549,127.022883624,가구/가전,월세,0,170000000,30000000,4000000,100000,59.5,1층,T,3120185,11680521
680115,서울특별시 강남구 논현동,37.5093850924,127.037256384,한식/고기집,월세,0,110000000,50000000,2200000,50000,59.5,1층,T,3120199,11680531
680289,서울특별시 강남구 논현동,37.5180800427,127.0300076511,사무실,월세,0,0,20000000,2250000,50000,105.8,5층,T,3120190,11680531
646407,서울특별시 강남구 논현동,37.5075675484967,127.028297879026,치킨/닭요리,월세,0,190000000,10000000,900000,50000,29.75,1층,T,3110955,11680521
677703,서울특별시 서초구 반포동,37.5080229345863,127.022326280077,사무실,월세,0,0,20000000,2000000,200000,42.98,2층,T,3120185,11650560
674325,서울특별시 강남구 논현동,37.5144221993,127.0290831977,사무실,월세,0,0,100000000,4500000,700000,148.8,4층,T,3120191,11680521
535209,서울특별시 강남구 논현동,37.5172819644,127.0357264609,사무실,월세,0,0,100000000,6000000,600000,247.9,지하1층,T,3110966,11680531
