idx,dtlstatenm,addr,nm,type,lat,lng
1,영업중,"서울특별시 강동구 양재대로 1393, 지층 (성내동)",미르메,학원,37.5304836404047,127.136840451912
2,영업중,"서울특별시 강동구 진황도로 190, 6층 (둔촌동)",한국체대우리태권도,학원,37.5292613524201,127.142992352633
3,영업중,"서울특별시 강동구 상암로 425, 2층 (상일동)",상일유도스쿨,학원,37.5458283723052,127.169810241076
4,영업중,"서울특별시 강동구 구천면로 250, 신성빌딩 5층 (천호동)",캡틴복싱클럽,학원,37.542515581948,127.131456746578
5,영업중,"서울특별시 강동구 상일로 31-1, 2층 (상일동)",한국위너복싱 상일동점,학원,37.5499378035071,127.172743178673
6,영업중,서울특별시 강동구 상일로 129 (고덕동),고덕검도관,학원,37.5586498750926,127.170841751899
7,영업중,"서울특별시 강동구 동남로82길 97, 4층 (고덕동)",수 파워점핑 줄넘기 태권도장,학원,37.5605204912915,127.16243770021
8,영업중,"서울특별시 강동구 동남로82길 121, 2층 (고덕동)",용인대 영웅태권도,학원,37.5603957646344,127.163698036337
9,영업중,"서울특별시 강동구 고덕로 333, 3층 321, 322호 (고덕동, 고덕그라시움아파트)",태권쏭(태권도장),학원,37.5561770852501,127.159176546352
10,영업중,"서울특별시 강동구 고덕로 353, 고덕그라시움종합상가 216호 (고덕동)",VTA 태권도장,학원,37.557135101795,127.164510295845
11,영업중,"서울특별시 강동구 양재대로89길 13, 3층 (성내동)",강동와이어주짓수,학원,37.5264724862245,127.134713417427
12,영업중,"서울특별시 강동구 아리수로93나길 80, 성산타워2 206호 (강일동)",경희대효태권도장,학원,37.5725645707407,127.176236567245
13,영업중,"서울특별시 강동구 구천면로 376, 세일빌딩 4층 (천호동)",마루검도관,학원,37.5505447800921,127.140421135064
14,영업중,"서울특별시 강동구 아리수로93길 33, 베스트프라자 801호 (강일동)",원 복싱,학원,37.5658948102878,127.173539404835
15,영업중,"서울특별시 강동구 풍성로38길 13, 2층 (성내동)",예건태권스쿨,학원,37.53128779661,127.125300726283
16,영업중,"서울특별시 강동구 양재대로91길 77, 석영빌딩 2층 (성내동)",정무도장,학원,37.5287429062352,127.131850825335
17,영업중,"서울특별시 강동구 고덕로80길 123, 고덕센트럴 IPARK(A상가) 2층 210-1호 (상일동)",경희대 SKY 태권도장,학원,37.5509309412134,127.165596070167
18,영업중,"서울특별시 강동구 고덕로27길 19, 용성빌딩 3층 (암사동)",K태권스쿨,학원,37.5557828437618,127.137567327149
19,영업중,"서울특별시 강동구 암사길 41, 2층 (암사동)",플렉스복싱PT암사,학원,37.5519705401703,127.133886998971
20,영업중,"서울특별시 강동구 고덕로 360, 2층 (상일동, 고덕아르테온아파트)",태권쏭(태권도장),학원,37.5566829127291,127.169527259453
21,영업중,"서울특별시 강동구 천호대로 991, 3층 (천호동)",기공태극권,학원,37.5392591879054,127.12266660809
22,영업중,"서울특별시 강동구 동남로82길 91, 2층 (고덕동)",강일S짐 복싱클럽 명희관,학원,37.5606169677757,127.162124624486
23,영업중,"서울특별시 강동구 아리수로93나길 50, MK프라자 5층 (강일동)",퍼스트 태권도장,학원,37.5720997177008,127.174497989376
24,영업중,"서울특별시 강동구 동남로81길 86, 2층 (고덕동)",고덕 호림 합기도,학원,37.5590019083645,127.152401910714
