idx,dtlstatenm,nm,type,addr,lat,lng
1,영업중,리페이스치과병원,병원,"서울특별시 강남구 도산대로 138, 13층 (논현동)",37.5174322865518,127.023786242369
2,영업중,강남초이스병원,병원,"서울특별시 강남구 테헤란로 337 (역삼동, 4~9층)",37.5047949131565,127.048457476412
3,영업중,하병원,병원,"서울특별시 강남구 강남대로132길 5, 지하1~2층,2~5층 (논현동)",37.5122664382368,127.021613379337
4,영업중,강남고려병원,병원,서울특별시 관악구 관악로 242 (봉천동),37.4856188363947,126.956781703053
5,영업중,트리니티병원,병원,"서울특별시 강남구 봉은사로 535 (삼성동, 트리니티재활병원빌딩, 지하1,2층, 지상1~11층)",37.5142581260954,127.058674361192
6,영업중,강서푸른꿈성모어린이병원,병원,"서울특별시 강서구 공항대로41길 34, 플러스존 3,8,9층 (등촌동)",37.5592796685251,126.84571196058
7,영업중,우리들병원,병원,"서울특별시 강남구 학동로 445, 우리들병원 (청담동)",37.51909256106,127.049609103629
8,영업중,자이비뇨의학과병원,병원,"서울특별시 서초구 서운로 220, 대지스포츠프라자 4층 (서초동)",37.5027112533189,127.021761944037
9,영업중,강동아너스힐병원,병원,"서울특별시 강동구 양재대로 1463, 5~15층 (길동)",,
11,영업중,척바른병원,병원,"서울특별시 서초구 방배로 151, 지하1층일부,2~5층 (방배동)",37.4871582793878,126.993560196392
12,영업중,연세대학교의과대학 강남세브란스병원,병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",37.4928059943729,127.04631039276
13,영업중,(의)가산의료재단 광동병원,병원,서울특별시 강남구 봉은사로 612 (삼성동),37.5142810376461,127.062146778337
14,영업중,더드림병원,병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",37.5009902618151,127.050967336445
17,영업중,대항병원,병원,서울특별시 서초구 남부순환로 2151 (방배동),37.4756666208059,126.987740199474
18,영업중,성동필한방병원,병원,"서울특별시 성동구 천호대로 282, 남주빌딩 2~5층 (용답동)",37.5667983056365,127.052152534724
20,영업중,서울현대병원,병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",37.6402559204261,127.028504374531
21,영업중,내일한방병원,병원,"서울특별시 은평구 응암로 267, 정원빌딩 (응암동)",37.5958556930176,126.918661945965
22,영업중,리움한방병원,병원,"서울특별시 강동구 강동대로 243, 풍원빌딩 (성내동)",37.5223962523793,127.132974735453
23,영업중,엠에스병원,병원,"서울특별시 송파구 삼학사로 53, 태영빌딩 1~7층 (삼전동)",37.5019988111255,127.096607902163
24,영업중,의료법인 참예원의료재단 서초참요양병원,병원,"서울특별시 서초구 양재대로 54, 지1,2층, 2~9층 (우면동, 서초참병원)",37.4597639429523,127.025360542615
25,영업중,송파그랜드요양병원,병원,"서울특별시 송파구 마천로 238, 윤진프라자타워 (마천동)",37.4996415468676,127.143773162373
26,영업중,포레스트한방병원,병원,"서울특별시 강동구 강동대로 143-52, 지하3, 지하1 일부, 1~5층 (성내동)",,
27,영업중,서울센트럴병원,병원,"서울특별시 관악구 남부순환로 1814, 대연빌딩 3,4,8,9층 (봉천동)",37.4810358154572,126.951566124274
28,영업중,의료법인 부원의료재단 서초요양병원,병원,서울특별시 서초구 반포대로9길 42 (서초동),37.4831271533812,127.009352330212
29,영업중,123스텝업병원,병원,"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",,
30,영업중,한국보훈복지의료공단 서울요양병원,병원,"서울특별시 강동구 진황도로61길 53, 서울요양병원 (둔촌동)",37.5284637471127,127.147925555901
31,영업중,고은빛여성병원,병원,서울특별시 강동구 천호대로 1151 (길동),37.5341560838916,127.139335813162
32,영업중,의료법인 우신향병원,병원,서울특별시 성북구 안암로 99 (안암동5가),37.5848797322556,127.031235460115
33,영업중,남기세병원,병원,서울특별시 강동구 천호대로 1133 (길동),37.5346886394768,127.137512843471
34,영업중,미래본병원,병원,"서울특별시 송파구 송파대로 562, 2,3,8층 (신천동, 한빛프라자,삼성웰리스아파트)",,
35,영업중,녹색병원,병원,서울특별시 중랑구 사가정로49길 53 (면목동),37.5835639827081,127.086060385744
36,영업중,힘찬경희생생한방병원,병원,"서울특별시 양천구 오목로 344, 청학빌딩 (목동)",37.5237531022074,126.875143110053
37,영업중,서울동행요양병원,병원,"서울특별시 송파구 토성로 20, 다보라 지하1~5층 (풍납동)",37.5305910872711,127.112750545786
38,영업중,더사랑요양병원,병원,"서울특별시 송파구 마천로 227, 보은빌딩 (마천동)",37.5005392855842,127.143198688363
43,영업중,서울적십자병원,병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",37.5667630123693,126.967202493985
44,영업중,아미나요양병원,병원,"서울특별시 종로구 경희궁길 26, 썬타워빌딩 지하1층, 지상2,3,4,5,6,7층 (신문로2가)",37.572273501222,126.970991105824
45,영업중,포레스트병원,병원,"서울특별시 종로구 율곡로 164, 지하1,2층,1층일부,2~8층 (원남동)",37.5757809895224,126.996755343372
46,영업중,서울지구병원,병원,서울특별시 종로구 삼청로10길 13 (삼청동),37.5874464270086,126.982458095352
