idx,nm,addr,type,lat,lng
1,동국대학교사범대학부속가람중학교,서울특별시 광진구 광나루로36길 47,학교,37.5419210650592,127.086977917618
2,선화예술중학교,서울특별시 광진구 천호대로 664,학교,37.5509798002896,127.087095159462
3,서울숭신초등학교,서울특별시 성동구 마장로 161,학교,37.5676883077439,127.028005141452
4,행당중학교,서울특별시 성동구 왕십리로 189,학교,37.5545540364985,127.041963387397
5,한양대학교사범대학부속중학교,서울특별시 성동구 마조로 42,학교,37.5619188387132,127.042324044658
6,자양중학교,서울특별시 광진구 뚝섬로41길 33,학교,37.5357298982053,127.074368913785
7,용곡중학교,서울특별시 광진구 용마산로22길 76,학교,37.5658339893237,127.089275266763
8,옥정중학교,서울특별시 성동구 한림말길 11,학교,37.5416703705205,127.012983234555
9,양진중학교,서울특별시 광진구 워커힐로 32,학교,37.5449782076528,127.098714317037
10,신양중학교,서울특별시 광진구 자양강변길 73,학교,37.5336522682692,127.063425269386
11,성원중학교,서울특별시 성동구 성덕정9가길 13,학교,37.5394518246786,127.051383529488
12,성수중학교,서울특별시 성동구 서울숲길 18,학교,37.5473418143935,127.038253431317
13,무학중학교,서울특별시 성동구 행당로 120,학교,37.557701190017,127.031992242352
14,마장중학교,서울특별시 성동구 마장로35나길 31,학교,37.5683388716972,127.041605053834
15,대원국제중학교,서울특별시 광진구 용마산로22길 26,학교,37.5624502219725,127.089376716312
16,동마중학교,서울특별시 성동구 마조로11길 18,학교,37.5628025060626,127.040351173206
17,구의중학교,서울특별시 광진구 광나루로30길 80,학교,37.5428503028479,127.078840375276
18,광희중학교,서울특별시 성동구 독서당로62길 46,학교,37.5511545255411,127.033980048989
19,광진중학교,서울특별시 광진구 뚝섬로64길 45,학교,37.5322195901849,127.090162126057
20,광장중학교,서울특별시 광진구 광장로1길 1,학교,37.5471775185817,127.101927589353
21,광양중학교,서울특별시 광진구 자양로3길 7,학교,37.5308913414973,127.08616998675
22,광남중학교,서울특별시 광진구 아차산로70길 17-62,학교,37.5408304051926,127.101643877784
23,경일중학교,서울특별시 성동구 성수일로 27,학교,37.5438083798316,127.047853796815
