nm,type,apv_date,addr,floor,sitearea,lat,lng,flpop_type,trdar_cd,adstrd_cd,success,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,profile_weight,location_score,rank
바나프레소 테헤란로점,커피숍,2019-05-23,서울 강남구 테헤란로 208,1.0,98.4,37.5011301173784,127.039098610917,T,3120197.0,11680650,1,985131.5,882135.0,752222.8125,0,1,0,0,224.9995161999113,24.92995800746823,8,0,1.0,0,6,6,27,3.0,0.8553112527619767,11
바나프레소 중계은행사거리점,커피숍,2023-03-24,서울 노원구 덕릉로76길 18,1.0,28.7,37.654290852548,127.075304285056,A,,11350621,0,418872.5,654206.75,676400.0625,0,0,0,0,749.9303347107834,117.24211767257894,18,0,1.0,0,0,1,2,1.0,0.8339214025399786,15
banapresso 위례중앙점,커피숍,2023-05-01,서울 송파구 위례광장로 120,1.0,40.1,37.4750100992712,127.141592563317,A,,11710647,0,353384.75,554050.25,582902.9375,0,0,0,0,1387.3888369447097,73.40699104069914,23,0,1.0,0,0,1,5,1.0,0.8028218220224536,20
바나프레소 신논현역점,커피숍,2019-08-06,서울 서초구 사평대로 364,1.0,107.24,37.5037327208746,127.023195609704,T,3120187.0,11650531,1,589152.0,788268.0,560948.125,0,1,0,0,766.8656965104951,56.96583201226362,18,1,1.0,0,6,8,36,3.0,0.9355331955446978,3
바나프레소 선릉공원점,커피숍,2021-07-23,서울 강남구 테헤란로63길 20,1.0,97.28,37.5065217786409,127.050397908819,T,3120210.0,11680590,1,951358.25,983513.0,833761.125,1,2,0,0,258.6960335111506,139.7247859343835,16,0,1.0,0,1,10,25,3.0,0.843513741893482,12
바나프레소 고덕비즈밸리점,커피숍,2025-03-25,서울 강동구 고덕비즈밸리로2가길 50,1.0,55.84,37.5675893491524,127.159990226335,A,,11740560,0,254504.75,342827.25,380821.5,0,0,0,0,1318.869971536393,66.97006736249178,6,0,1.0,0,3,6,15,0.5,0.7585199736080052,26
바나프레소 서울시청역점,커피숍,2025-05-14,서울 중구 서소문로 89-20,-1.0,36.68,37.5632510909133,126.972031493823,A,,11140520,0,626221.5,482929.25,382338.6875,0,0,0,0,300.39680229402876,203.297458197875,20,0,0.6,0,4,2,21,0.5,0.7556177147464673,27
바나프레소 충무로점,커피숍,2022-09-19,서울 중구 필동로 15,1.0,148.43,37.5603388092001,126.996256659638,T,3120032.0,11140570,1,357098.25,362848.5,287171.875,0,0,0,0,210.33194108653018,165.102362567239,21,0,1.0,0,3,5,31,3.0,0.8136339810674846,19
바나프레소 홍대입구역사거리점,커피숍,2022-11-07,서울 마포구 양화로 129,1.0,33.0,37.5550607718839,126.920693732271,T,3120102.0,11440660,1,409679.75,552486.25,389756.625,0,1,0,0,333.61407892392543,58.971351264289495,36,0,1.0,0,4,4,28,3.0,0.8790236293967041,7
바나프레소 양재이안점,커피숍,2023-01-31,서울 서초구 강남대로34길 7,1.0,48.33,37.4830322462208,127.036464509789,T,3120179.0,11650651,1,440356.25,473092.5,400709.25,0,1,0,0,197.77184091551086,68.4968866622601,12,1,1.0,0,6,5,20,3.0,0.9586214950626483,1
