SCHUL_KND_SC_NM,ORG_RDNMA,ORG_RDNDA
중학교,서울특별시 광진구 광나루로36길 47,", 동국대학교사범대학부속가람중학교 (구의동)"
각종학교(중),서울특별시 광진구 천호대로 664,/ 선화예술중고등학교 (능동)
초등학교,서울특별시 성동구 마장로 161,(하왕십리동)
중학교,서울특별시 성동구 왕십리로 189,(행당동/행당중학교)
중학교,서울특별시 성동구 마조로 42,(사근동/한양사대부속중·고등학교)
중학교,서울특별시 광진구 뚝섬로41길 33,(자양동/서울자양중학교)
중학교,서울특별시 광진구 용마산로22길 76,(중곡동/용곡중학교)
중학교,서울특별시 성동구 한림말길 11,/ 옥정중학교 (옥수동)
중학교,서울특별시 광진구 워커힐로 32,/ 양진중학교
중학교,서울특별시 광진구 자양강변길 73,/ 신양중학교 (자양동)
중학교,서울특별시 성동구 성덕정9가길 13,(성수동2가/ 성원중학교)
중학교,서울특별시 성동구 서울숲길 18,(성수동1가/ 성수중학교)
중학교,서울특별시 성동구 행당로 120,(행당동)
중학교,서울특별시 성동구 마장로35나길 31,/ 마장중학교 (마장동)
중학교,서울특별시 광진구 용마산로22길 26,/ 대원국제중학교 (중곡동)
중학교,서울특별시 성동구 마조로11길 18,(마장동)
중학교,서울특별시 광진구 광나루로30길 80,(화양동)
중학교,서울특별시 성동구 독서당로62길 46,/ 광희중학교 (응봉동)
중학교,서울특별시 광진구 뚝섬로64길 45,(자양동/광진중학교)
중학교,서울특별시 광진구 광장로1길 1,/ 광장중학교 (광장동)
중학교,서울특별시 광진구 자양로3길 7,(자양동)
중학교,서울특별시 광진구 아차산로70길 17-62,/ 광남중학교 (광장동)
중학교,서울특별시 성동구 성수일로 27,(성수동1가)
중학교,서울특별시 성동구 뚝섬로13길 14,(성수동2가)
중학교,서울특별시 광진구 자양로 145-1,건국대학교사범대학부속중학교
초등학교,서울특별시 성동구 살곶이길 208,/ 한양초등학교 (사근동)
초등학교,서울특별시 광진구 군자로 114,/ 세종초등학교 (군자동)
초등학교,서울특별시 광진구 자양로4길 63,(자양동)
초등학교,서울특별시 성동구 행당로 95,(행당동)
초등학교,서울특별시 성동구 고산자로8길 6,/ 서울행당초등학교 (행당동)
초등학교,서울특별시 광진구 동일로72길 43,(중곡동)
초등학교,서울특별시 광진구 긴고랑로13길 59,(중곡동/중광초등학교)
초등학교,서울특별시 광진구 군자로 74,(군자동)
초등학교,서울특별시 광진구 아차산로44길 26,(자양동)
초등학교,서울특별시 성동구 독서당로62길 28,(응봉동/ 응봉초등학교)
초등학교,서울특별시 광진구 천호대로113길 10,(중곡동)
초등학교,서울특별시 성동구 용답25길 1,/ 서울용답초등학교
초등학교,서울특별시 광진구 용마산로22길 82,/ 서울용곡초등학교 (중곡동)
초등학교,서울특별시 성동구 한림말길 43,(옥수동/옥정초등학교)
초등학교,서울특별시 성동구 금호로1길 25,/ 옥수초등학교 (금호동4가)
초등학교,서울특별시 광진구 워커힐로 32,(광장동/양진초중학교)
